ELEMENTO,CARA,FORMATO,TIPO,DEPARTAMENTO,DISTRITO,DIRECCION_COMERCIAL,TRANSITO,REFERENCIA,ANCHO,ALTO,resolution_width,resolution_height,LATITUD,LONGITUD,OBSERVACION,AUDIENCIA,photo_url,slot_duration_seconds
MRN-004,A,Pantalla Digital,DIGITAL,Lima,San Miguel,Av. La Marina Cdra. 20.,Hacia la Av. Universitaria con dirección a la Av. Brasil.,Frente a Plaza San Miguel.,"12,00","6,00",1280,720,"-12,0777250","-77,0827970",,10.420.907,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MRN-004%20A.webp,7
MRN-004,B,Pantalla Digital,DIGITAL,Lima,San Miguel,Av. La Marina Cdra. 20.,Hacia la Av. José de la Riva Agüero rumbo al Callao.,Frente a Plaza San Miguel.,"12,00","6,00",1280,720,"-12,0782553","-77,0827460",,10.663.423,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/MRN-004%20B.webp,7
OLI-014,B,Pantalla Digital,DIGITAL,Lima,Los Olivos,Av. Alfredo Mendiola ( Frente A Mega Plaza),Hacia el norte con dirección al Óvalo Naranjal,Entrada principal de Centro Comercial Mega Plaza,"10,40","5,40",1280,720,"-11,9949150","-77,0635460",,14.272.650,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/OLI-014%20B.webp,7
PIU-006,B,Pantalla Digital,DIGITAL,Piura,-,Av. Sánchez Cerro Cdra. 12,Hacia Av. Loreto con dirección al Estadio Miguel Grau,Próximo a la Av. Country,"12,00","6,00",1280,720,"-5,1907090","-80,6323940",,4.507.303,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/PIU-006%20B.webp,7
PIU-027,A,Pantalla Digital,DIGITAL,Piura,-,Av. Cáceres Cruce Con Ramón Mujica,Hacia Av. Sullana Norte con dirección al Camposanto Miguel Arcángel,FRENTE A LA OFICINA DEL BCP DESDE EL OPEN PLAZA HACIA AV SULLANA.,"8,40","4,80",1280,720,"-5,1825530","-80,6311600",,1.729.380,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/PIU-027%20A.webp,7
PIU-055,A,Pantalla Digital,DIGITAL,Piura,-,Av. Cáceres Con Av. Irrazola (Open Plaza),Hacia el Hospital Universitario – Alt. De la Universidad de Piura.,Frente al Open Plaza de Piura.,"11,52","6,40",1280,720,"-5,1830560","-80,6235840",,3.134.627,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/PIU-055%20A.webp,7
PLB-003,A,Pantalla Digital,DIGITAL,Lima,Pueblo Libre,Av. La Marina Cdra. 1633,Hacia la Av. Universitaria - Plaza San Miguel.,A dos cuadra de la Av. Universitaria y el CC. Plaza San Miguel.,"12,00","6,00",1280,720,"-12,0790575","-77,0778173",,6.995.571,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/PLB-003%20A.webp,7
SIN-001,A,Pantalla Digital,DIGITAL,Lima,San Isidro,Av. República De Panamá Con Av. Tomás Marsano,Hacia la Av. Andrés Aramburú y Centró bancario de San Isidro.,Frente a Chery Lima Autos.,"12,00","6,00",1280,720,"-12,1043112","-77,0187684",,10.238.640,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SIN-001%20A.webp,7
SIN-004,A,Pantalla Digital,DIGITAL,Lima,San Isidro,Av. Javier Prado Este ( Junto A La Rambla),Hacia Centro Comercial Jockey Plaza con dirección a La Molina.,Al costado de Mundo Bebe y frente a Petroperú.,"12,00","6,00",1280,720,"-12,0894273","-77,0111829",Compartido con otra empresa. Evitar bonificar.,6.904.389,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SIN-004%20A.webp,7
SIN-004,B,Pantalla Digital,DIGITAL,Lima,San Isidro,Av. Javier Prado Este ( Junto A La Rambla),Hacia via expresa con dirección a San Isidro,Al costado de Mundo Bebe y frente a Petroperú.,"12,00","6,00",1280,720,"-12,0894273","-77,0111829",Compartido con otra empresa. Evitar bonificar.,6.995.764,https://pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/SIN-004%20B.webp,7
