ELEMENTO,CARA,FORMATO,TIPO,PROVEEDOR,DEPARTAMENTO,DISTRITO,ZONA,DIRECCION_COMERCIAL,TRANSITO,REFERENCIA,ANCHO,ALTO,resolution_width,resolution_height,AREA,LATITUD,LONGITUD,OBSERVACION,AUDIENCIA,photo_url
AGS-006,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,El Agustino,LIMA DIGITAL,Vía Evitamiento ,Hacia el sur con dirección al puente Santa Anita,Frente a Puente Nuevo próximo a Sodimac de San Juan de Lurigancho,"12,00","6,00",1280,720,"72,00","-12,0303690","-77,0000140",,16.599.236,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/AGS-006%20A.webp
ANT-001,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Santa Anita,LIMA DIGITAL,Av. Nicolás Ayllón (Carretera Central) ,Hacia el Óvalo Santa Anita.,Frente a Centro Comercial Santa Anita puerta principal Saga Falabella.,"12,10","6,05",1280,720,"73,21","-12,0571910","-76,9709540",Presenta fallas,16.910.554,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ANT-001%20B.webp
ANT-004,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Santa Anita,LIMA DIGITAL,Av. Nicolas Ayllon (Carretera Central),Hacia Vía Evitamiento con dirección al distrito de El Agustino,Frente al Centro Comercial Mall Aventura Ripley Sagafalabella Bancos y más,"8,96","3,84",1280,720,"34,41","-12,0568523","-76,9699033",,13.927.170,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ANT-004%20A.webp
ARQ-044,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Arequipa,-,PROVINCIA DIGITAL,Av. Ejército,Hacia Av. La Marina con dirección a la Plaza de armas y Monasterio Santa Catalina,A 2 cdras. Del Real Plaza / Mall Plaza Cayma / Metro / Plaza Vea.,"10,80","5,40",1280,672,"58,32","-16,3911310","-71,5433540",,4.433.666,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-044%20A.webp
ARQ-046,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Arequipa,-,PROVINCIA DIGITAL,Av. Los Incas ,Hacia Av. Jesús con dirección a Paucarpata.,Frente a la puerta principal del Centro Comercial y Parque Lambramani.,"8,00","4,00",1280,720,"32,00","-16,4108478","-71,5203060",,2.876.974,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-046%20A.webp
ARQ-051,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Arequipa,-,PROVINCIA DIGITAL,Av. El Ejército Cuadra 7 - Yanahuara,Hacia Av. Cayma con dirección al C.C Real Plaza,Frente al C.C Mall Plaza Cayma y Hotel Paititi rodeado de diversos negocios locales,"9,60","4,80",1280,720,"46,08","-16,3904345","-71,5455971",,4.244.803,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-051%20A.webp
ARQ-052,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Arequipa,-,PROVINCIA DIGITAL,Óvalo Quiñones,Hacia Av. La Marina con dirección a la Plaza de Armas,Óvalo Quiñones frente a Red de Bancos y rodeado de diversos negocios locales,"7,68","3,84",1280,720,"29,49","-16,3972710","-71,5472330",,3.869.953,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-052%20A.webp
ARQ-055,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Arequipa,-,PROVINCIA DIGITAL,Av. Porongoche Cdra. 5,Hacia Av. Los Incas con dirección al Distrito de Mariano Melgar,"Frente al Mall Aventura Plaza, HM y  al costado de estilos","12,80","7,70",1280,720,"98,56","-16,4164748","-71,5155245",,3.690.896,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-055%20A.webp
ARQ-060,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Arequipa,-,PROVINCIA DIGITAL,Av. Jesús Cdra. 1 Berma Central,Hacia Estadio Arequipa,"Zona ferretera, frente al Óvalo de Mariscal Castilla","10,24","4,80",1280,720,"49,15","-16,4033867","-71,5164883",,5.140.766,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ARQ-060%20A.webp
ATE-032,A,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Ate,LIMA DIGITAL,Av. Nicolás Ayllón (C.C. Real Plaza Santa Clara),Hacia Huaycán Chosica.,Próximo a la entrada principal del Centro Comercial Real Plaza Santa Clara.,"7,68","3,84",1280,720,"29,49","-12,0151524","-76,8868910",,3.430.941,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ATE-032%20A.webp
ATE-039,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Ate,LIMA DIGITAL,Av. Prolongación Javier Prado Con Av. Vista Alegre,Hacia Av. Nicolás Ayllón con dirección a Hiper Plaza Vea Ceres,Frente a Real Plaza Puruchuco y Tienda Tambo,"12,00","6,00",1280,720,"72,00","-12,0433542","-76,9303440",,12.889.020,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/ATE-039%20B.webp
BCO-004,B,Pantalla Digital,DIGITAL,JMT OUTDOORS,Lima,Barranco,LIMA DIGITAL,Av. República De Panamá,Hacia Av. el Sol con dirección al óvalo balta.,A pocas cuadras del Plaza Vea del Cortijo.,"12,10","6,00",1280,720,"72,60","-12,1370279","-77,0177362",,7.119.510,pub-4951180469144594abaab94c53f99a18.r2.dev/JMT/BCO-004%20B.webp
